,area,name,address,price,score,stu_num
75,东西湖区,腾耀驾校,湖北现代五金机电城(北二门)田园街百洋超市隔壁,2600,4.7,1363
76,东西湖区,弘毅驾校,武汉市金银湖北一街特6号,3200,4.6,2615
77,东西湖区,盛世楚韵驾校,湖北省武汉市东西湖区,3000,3,83
78,东西湖区,九泰驾校,湖北省武汉市石家嘴村345号,4200,4,5404
79,东西湖区,物资驾校,武汉市江夏区环岛路,2300,4.4,4180
80,东西湖区,金星驾校,和谐大道与建设大道交叉口东南50米,,4.1,3701
81,东西湖区,华康驾校,湖北省武汉市东西湖区油纱路101附近,,4.3,3408
82,东西湖区,腾飞天马驾校,,,4.9,943
83,东西湖区,万通驾校,东西湖区吴家山四支沟,,4,2193
84,东西湖区,神威驾校,湖北将军路街金潭路荣保科技院内,,4.7,1917
85,东西湖区,顺捷驾校,东西湖区将军花园大门旁,,2.3,193
86,蔡甸区,星光驾校,沌口经济技术开发区,2490,5,12952
87,蔡甸区,黄浦驾校,茂林街13号,2499,4.2,8013
88,蔡甸区,平安达驾校,湖北省武汉市蔡甸区莲湖路1号,2800,5,557
89,蔡甸区,建安驾校,湖北省武汉市蔡甸区博学路8号附近,2680,4.7,2331
90,蔡甸区,卓奇驾校,湖北省武汉市蔡甸区九康大道,1000,5,231
91,蔡甸区,利成驾校,武汉市黄陂区,2900,4.4,8249
92,蔡甸区,博格驾校,经济开发区藏龙岛办事处环岛路1号,3200,4.6,9207
93,蔡甸区,君捷驾校,湖北省武汉市蔡甸区,2680,5,630
94,蔡甸区,三侠驾校,汉阳区沌口枫树二路,3500,4.1,4790
95,蔡甸区,三侠机动车驾驶员培训有限公司,武汉市沌口区联城路喜瑞得大酒店,3800,4.1,275
96,蔡甸区,兰剑驾校蔡甸分校,湖北省武汉市蔡甸区蔡甸街道茂林街18号江景花园(茂林街),,3,3
97,江夏区,路友驾校,武汉市江夏区路友驾校总部训练基地,2700,5,1824
98,江夏区,车友锦光驾校,江夏区五里界梁子湖大道东湖街村委会,3188,4,6361
99,江夏区,人和驾校,武汉市江夏区东园西路/梁山头路(路口),1000,4.5,5918
100,江夏区,大学生驾校,武汉市东湖高新技术开发区庙山小区,2600,4.5,5212
101,江夏区,常青驾校,湖北省武汉市黄陂区黄陂大道215-1,2700,3.5,4966
102,江夏区,鸿欣驾校,江夏区纸坊街熊廷弼路,3500,4.8,5935
103,江夏区,天意驾校,江夏区流芳街大舒村长咀村邹家山村,,4.7,842
104,江夏区,海朝阳光驾校,,,5,110
105,黄陂区,明安驾校,武汉市江岸区石桥村牛皮岭特1号,2960,4.3,13651
106,黄陂区,晨光驾校,大程墩95号楼晨光驾校,2800,3.8,6116
107,黄陂区,明兴驾校,武汉市黄陂区汉口北大道-道路,,4,277
108,黄陂区,宏业驾校,黄陂区前川街向阳大街301号,,4.4,2766
109,黄陂区,湖北汽校,黄陂区前川大道29号,4490,4.7,1277
110,黄陂区,木兰驾校,黄陂前双风大道333号,3900,4.9,1120
111,新洲区,天宇晨阳驾校,湖北省武汉市新洲区永安大道74附近,2800,4.3,7866
112,新洲区,邾城驾校,武汉市新洲区邾城街衡州大街110号,500,4.3,7184
113,新洲区,星运驾校,施岗地铁站-D口,1000,5,35
114,新洲区,宏基驾校,湖北省武汉市新洲区阳逻开发区宏基驾校,,4.1,4534
115,新洲区,丰恒驾校,新洲区衡洲大道115号,,4.9,1319
116,新洲区,港口驾校,江家墩100号,,3.6,1415
